Id,QuizId,QuestionText,QuestionTextAr,QuestionType,Marks,Explanation,ExplanationAr,SortOrder,ImageUrl
2552,1079,What is a deadlock?,ترجمة: What is a deadlock?,MCQ,2,Because Two processes waiting for each other is correct.,,5,
3503,1463,What does API stand for?,,MCQ,2,,الشرح بالعربية,3,
4050,1669,What is the time complexity of binary search?,,MCQ,3,Because O(log n) is correct.,,1,
1677,742,What does SQL stand for?,,TrueFalse,2,Because Structured Query Language is correct.,,2,
391,166,What does API stand for?,,MCQ,3,Because Application Programming Interface is correct.,,8,
4400,1838,What is the time complexity of binary search?,,MCQ,2,Because O(log n) is correct.,الشرح بالعربية,7,
2756,1151,Which sorting algorithm has worst-case O(n²)?,,MCQ,5,,الشرح بالعربية,6,
3922,1618,Which OSI layer handles routing?,ترجمة: Which OSI layer handles routin,MCQ,2,Because Network Layer is correct.,,8,
480,217,Output of 2**3 in Python?,ترجمة: Output of 2**3 in Python?,MCQ,2,Because 8 is correct.,,2,
2771,1152,What is the time complexity of binary search?,ترجمة: What is the time complexity of,MCQ,5,,,10,
1785,785,What is a foreign key?,,ShortAnswer,2,,,5,/uploads/questions/1912bb61-a6a2-45d4-85a3-c80ca59470a7.png
664,306,Which is NOT a supervised learning algorithm?,,MCQ,3,,,10,/uploads/questions/469ceea2-c5b0-42bd-8372-fe9988985ad2.png
2078,887,What does OOP stand for?,ترجمة: What does OOP stand for?,ShortAnswer,5,,الشرح بالعربية,1,
125,47,What is a deadlock?,,MCQ,2,Because Two processes waiting for each other is correct.,,6,
1616,717,Output of 2**3 in Python?,ترجمة: Output of 2**3 in Python?,MCQ,1,,,1,/uploads/questions/97b9e53e-5482-4864-8f63-45bac79e42ec.png
5033,2118,Which data structure uses LIFO?,ترجمة: Which data structure uses LIFO,TrueFalse,2,,,12,
2599,1089,What is a deadlock?,ترجمة: What is a deadlock?,MCQ,2,Because Two processes waiting for each other is correct.,الشرح بالعربية,3,
1849,809,Which sorting algorithm has worst-case O(n²)?,ترجمة: Which sorting algorithm has wo,MCQ,3,,,1,
2431,1040,What is a deadlock?,ترجمة: What is a deadlock?,MCQ,2,Because Two processes waiting for each other is correct.,,8,
2603,1089,What is normalization in databases?,ترجمة: What is normalization in datab,TrueFalse,1,,,7,
4601,1927,Which is NOT a supervised learning algorithm?,ترجمة: Which is NOT a supervised lear,MCQ,2,,,10,/uploads/questions/d97d75d3-dede-489a-91b6-2b4f710e22a6.png
1777,784,Which is NOT a supervised learning algorithm?,,MCQ,2,,,8,
3333,1375,What is the time complexity of binary search?,ترجمة: What is the time complexity of,MCQ,5,Because O(log n) is correct.,,5,
2401,1021,Which data structure uses LIFO?,,MCQ,2,Because Stack is correct.,الشرح بالعربية,2,/uploads/questions/099bfda1-79e2-4ed9-9bed-b948fcf0ee1a.png
4067,1677,Overfitting in ML means?,ترجمة: Overfitting in ML means?,ShortAnswer,2,,الشرح بالعربية,2,/uploads/questions/5973aa5d-8ae3-4c35-981b-2be97484c48a.png
913,435,What does SQL stand for?,ترجمة: What does SQL stand for?,MCQ,3,Because Structured Query Language is correct.,,2,
4217,1744,What does API stand for?,ترجمة: What does API stand for?,MCQ,5,Because Application Programming Interface is correct.,,4,
1769,782,What is normalization in databases?,ترجمة: What is normalization in datab,MCQ,1,Because Reducing data redundancy is correct.,الشرح بالعربية,5,
1262,595,What does SQL stand for?,,MCQ,5,,الشرح بالعربية,1,
4586,1925,Output of 2**3 in Python?,ترجمة: Output of 2**3 in Python?,TrueFalse,5,,,7,/uploads/questions/8198dfbc-a4e1-4b93-a233-caefd1c41178.png
4366,1811,What does SQL stand for?,ترجمة: What does SQL stand for?,MCQ,5,Because Structured Query Language is correct.,,7,
4795,2005,What is a foreign key?,ترجمة: What is a foreign key?,MCQ,2,,الشرح بالعربية,2,
3809,1586,Which data structure uses LIFO?,,ShortAnswer,5,,,6,
5280,2212,Which OSI layer handles routing?,,TrueFalse,2,Because Network Layer is correct.,,9,/uploads/questions/d29eeddb-8f41-4be3-a0c0-6a5da559fb4e.png
4825,2013,What is a deadlock?,ترجمة: What is a deadlock?,MCQ,2,,,1,
3002,1245,Overfitting in ML means?,ترجمة: Overfitting in ML means?,MCQ,3,,,5,
1196,560,What does OOP stand for?,,ShortAnswer,1,,,7,/uploads/questions/c0a81a0b-fa7f-45c9-a9b8-b8c36878e233.png
967,454,Which OSI layer handles routing?,,TrueFalse,2,Because Network Layer is correct.,,3,
62,25,Which protocol is stateless?,,MCQ,2,,,4,
3043,1258,What is normalization in databases?,,MCQ,1,Because Reducing data redundancy is correct.,,2,
1871,814,Which algorithm underlies RSA?,,MCQ,1,Because Public Key Cryptography is correct.,,8,
4200,1739,What does API stand for?,,MCQ,5,,,13,
5145,2158,Which is NOT a supervised learning algorithm?,,MCQ,5,Because K-Means is correct.,الشرح بالعربية,11,
58,24,What is a deadlock?,,MCQ,3,,,8,
591,286,Overfitting in ML means?,,TrueFalse,3,"Because Good on training, poor on test data is correct.",,1,
4254,1768,What does SQL stand for?,,MCQ,2,Because Structured Query Language is correct.,,12,
687,327,What is the time complexity of binary search?,,MCQ,3,Because O(log n) is correct.,,4,
1343,619,What does SQL stand for?,,TrueFalse,1,,,1,
773,354,What is the time complexity of binary search?,,MCQ,3,,,4,/uploads/questions/d54109ff-bb26-4f78-b74c-212f9094302a.png
290,143,What does API stand for?,,MCQ,2,Because Application Programming Interface is correct.,,10,
1130,535,Which is NOT a supervised learning algorithm?,,MCQ,2,Because K-Means is correct.,,9,
3016,1246,Which is NOT a supervised learning algorithm?,,ShortAnswer,5,,,5,
963,448,What does API stand for?,ترجمة: What does API stand for?,MCQ,2,,,6,
286,143,Which data structure uses LIFO?,ترجمة: Which data structure uses LIFO,MCQ,1,Because Stack is correct.,,6,/uploads/questions/410b9cbf-0a02-44e0-8c2d-30ce1e97b74b.png
3450,1434,Which is NOT a supervised learning algorithm?,ترجمة: Which is NOT a supervised lear,ShortAnswer,2,Because K-Means is correct.,الشرح بالعربية,10,/uploads/questions/f4bad3e8-40ae-45fd-ba45-058c34ec615e.png
1544,687,What is a foreign key?,ترجمة: What is a foreign key?,MCQ,2,Because References a primary key in another table is correct.,الشرح بالعربية,13,
342,152,Which data structure uses LIFO?,ترجمة: Which data structure uses LIFO,MCQ,2,,,12,
3350,1380,Which data structure uses LIFO?,ترجمة: Which data structure uses LIFO,MCQ,2,,الشرح بالعربية,13,/uploads/questions/bfd3e91c-0aad-4fab-931c-87c7b025fb72.png
2828,1174,What is a foreign key?,,MCQ,1,Because References a primary key in another table is correct.,الشرح بالعربية,4,/uploads/questions/9895bcf9-38e7-4af7-895e-c99fc98f1cac.png
5207,2176,Which data structure uses LIFO?,ترجمة: Which data structure uses LIFO,MCQ,1,,,6,
324,151,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,MCQ,1,,الشرح بالعربية,4,
5138,2158,Which OSI layer handles routing?,,MCQ,2,Because Network Layer is correct.,الشرح بالعربية,4,
4697,1967,What does API stand for?,ترجمة: What does API stand for?,ShortAnswer,3,,,2,/uploads/questions/371330ed-25b8-47a7-8bd1-398a4dea4b0a.png
2480,1056,Which is NOT a supervised learning algorithm?,,TrueFalse,2,,,12,/uploads/questions/e950d3b4-a71c-4627-b8fe-29b5b21df1f9.png
4022,1660,Which data structure uses LIFO?,,TrueFalse,5,Because Stack is correct.,,4,
309,150,Which is NOT a supervised learning algorithm?,ترجمة: Which is NOT a supervised lear,TrueFalse,3,,,2,
4984,2106,What does OOP stand for?,,MCQ,3,Because Object Oriented Programming is correct.,الشرح بالعربية,1,
1783,785,What is the time complexity of binary search?,,MCQ,2,,,3,
3078,1289,What is a deadlock?,ترجمة: What is a deadlock?,MCQ,1,Because Two processes waiting for each other is correct.,,1,
2332,986,Which data structure uses LIFO?,,ShortAnswer,2,,,8,
3149,1317,Which algorithm underlies RSA?,,MCQ,5,Because Public Key Cryptography is correct.,,8,
1481,664,Which protocol is stateless?,,MCQ,2,Because HTTP is correct.,الشرح بالعربية,1,
2361,1007,What does OOP stand for?,,ShortAnswer,2,Because Object Oriented Programming is correct.,,11,
2193,933,What does SQL stand for?,,MCQ,3,Because Structured Query Language is correct.,الشرح بالعربية,1,/uploads/questions/c5f3838b-fcd6-44dc-888a-8ef7ef94f88c.png
5329,26,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,TrueFalse,3,Because Public Key Cryptography is correct.,,9,
201,90,Which data structure uses LIFO?,,TrueFalse,2,Because Stack is correct.,,5,
2116,897,Which sorting algorithm has worst-case O(n²)?,ترجمة: Which sorting algorithm has wo,MCQ,3,,,4,
3843,1597,Which data structure uses LIFO?,ترجمة: Which data structure uses LIFO,MCQ,2,Because Stack is correct.,الشرح بالعربية,8,/uploads/questions/dcebb2bc-c7b6-416f-a6db-1bfb42f5d7ac.png
280,141,Which data structure uses LIFO?,,MCQ,2,,,11,
2081,887,Which OSI layer handles routing?,ترجمة: Which OSI layer handles routin,MCQ,5,Because Network Layer is correct.,,4,
1102,524,Output of 2**3 in Python?,,MCQ,2,Because 8 is correct.,,8,
4493,1888,What does SQL stand for?,ترجمة: What does SQL stand for?,MCQ,2,Because Structured Query Language is correct.,,9,
815,395,Which protocol is stateless?,ترجمة: Which protocol is stateless?,MCQ,5,Because HTTP is correct.,,1,
328,151,What is a deadlock?,ترجمة: What is a deadlock?,MCQ,2,,,8,
4821,2012,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,MCQ,2,Because Public Key Cryptography is correct.,,4,/uploads/questions/b9705277-70dc-48d6-83c5-032c493eed22.png
4715,1977,What is normalization in databases?,,MCQ,3,Because Reducing data redundancy is correct.,,4,
5107,2144,Which OSI layer handles routing?,,ShortAnswer,3,Because Network Layer is correct.,,5,
4953,2079,Which is NOT a supervised learning algorithm?,,MCQ,1,Because K-Means is correct.,,3,
1359,620,What does API stand for?,ترجمة: What does API stand for?,MCQ,2,,,3,
1400,636,What does SQL stand for?,ترجمة: What does SQL stand for?,MCQ,2,Because Structured Query Language is correct.,,4,
4244,1768,Which is NOT a supervised learning algorithm?,,MCQ,2,,,2,
752,344,Which protocol is stateless?,,MCQ,5,Because HTTP is correct.,,11,/uploads/questions/d6549e31-a769-4d78-be59-18dde20e2891.png
3448,1434,Output of 2**3 in Python?,ترجمة: Output of 2**3 in Python?,TrueFalse,2,,,8,
372,159,What is normalization in databases?,,MCQ,5,,,8,
1064,505,What is the time complexity of binary search?,,MCQ,3,,,6,
182,84,Which data structure uses LIFO?,ترجمة: Which data structure uses LIFO,MCQ,2,Because Stack is correct.,,5,
4279,1772,What is normalization in databases?,ترجمة: What is normalization in datab,MCQ,3,Because Reducing data redundancy is correct.,,8,
1264,595,Which protocol is stateless?,,ShortAnswer,3,Because HTTP is correct.,,3,
4458,1869,What is normalization in databases?,,ShortAnswer,2,,,5,
3645,1526,What does API stand for?,,MCQ,3,Because Application Programming Interface is correct.,,1,/uploads/questions/e5c4c409-9ecb-4ec0-a8ba-65a3ff3c1fdc.png
1141,540,Overfitting in ML means?,ترجمة: Overfitting in ML means?,MCQ,2,,,4,
303,148,What is normalization in databases?,ترجمة: What is normalization in datab,MCQ,1,,,9,
1613,716,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,MCQ,5,,الشرح بالعربية,4,
1806,789,Output of 2**3 in Python?,,MCQ,2,Because 8 is correct.,,2,/uploads/questions/4b4dae37-2885-4735-b164-1f6cecab8d9d.png
4767,1997,What is the time complexity of binary search?,ترجمة: What is the time complexity of,MCQ,1,,الشرح بالعربية,2,
1280,599,What does SQL stand for?,ترجمة: What does SQL stand for?,MCQ,1,Because Structured Query Language is correct.,الشرح بالعربية,5,
1045,498,What is the time complexity of binary search?,ترجمة: What is the time complexity of,MCQ,2,Because O(log n) is correct.,,1,
486,222,Overfitting in ML means?,ترجمة: Overfitting in ML means?,MCQ,2,,الشرح بالعربية,2,/uploads/questions/8c08165e-8977-4349-b25e-7c4f27c6969b.png
1774,784,What is the time complexity of binary search?,,MCQ,5,Because O(log n) is correct.,,5,
4578,1924,What is normalization in databases?,,MCQ,1,,,3,
3229,1351,What does API stand for?,,MCQ,5,,الشرح بالعربية,8,
782,354,Which protocol is stateless?,ترجمة: Which protocol is stateless?,MCQ,1,,,13,
500,237,What is a foreign key?,,MCQ,2,,,3,
4486,1888,Which algorithm underlies RSA?,,TrueFalse,3,Because Public Key Cryptography is correct.,,2,
3787,1575,Overfitting in ML means?,,TrueFalse,1,"Because Good on training, poor on test data is correct.",,9,
2556,1079,Which OSI layer handles routing?,ترجمة: Which OSI layer handles routin,ShortAnswer,5,Because Network Layer is correct.,,9,/uploads/questions/4f505bd1-1e8d-465f-87e7-52e34f9fd17c.png
4053,1669,Output of 2**3 in Python?,,MCQ,1,Because 8 is correct.,,4,
2490,1062,Overfitting in ML means?,,MCQ,5,,الشرح بالعربية,10,
2565,1080,Overfitting in ML means?,,TrueFalse,3,,الشرح بالعربية,5,
1162,547,What does OOP stand for?,ترجمة: What does OOP stand for?,MCQ,3,Because Object Oriented Programming is correct.,,9,
4932,2068,What does OOP stand for?,ترجمة: What does OOP stand for?,MCQ,2,,,4,
5337,32,What does SQL stand for?,ترجمة: What does SQL stand for?,MCQ,3,,الشرح بالعربية,5,
2373,1008,What is a deadlock?,,TrueFalse,2,,,11,
3066,1266,What is normalization in databases?,ترجمة: What is normalization in datab,MCQ,3,,الشرح بالعربية,8,
2825,1174,What is a deadlock?,,ShortAnswer,2,Because Two processes waiting for each other is correct.,,1,
3105,1297,Which sorting algorithm has worst-case O(n²)?,,TrueFalse,3,Because Bubble Sort is correct.,,9,
3870,1603,Which sorting algorithm has worst-case O(n²)?,ترجمة: Which sorting algorithm has wo,ShortAnswer,2,Because Bubble Sort is correct.,,8,
2352,1007,What is normalization in databases?,ترجمة: What is normalization in datab,TrueFalse,2,Because Reducing data redundancy is correct.,,2,
2167,907,Overfitting in ML means?,,MCQ,2,"Because Good on training, poor on test data is correct.",,12,
4884,2044,What is the time complexity of binary search?,,TrueFalse,3,,,3,
840,407,What does API stand for?,ترجمة: What does API stand for?,TrueFalse,1,Because Application Programming Interface is correct.,,1,
57,24,Which sorting algorithm has worst-case O(n²)?,,MCQ,2,,,7,
5054,2133,Output of 2**3 in Python?,,MCQ,1,Because 8 is correct.,,7,
3135,1314,Output of 2**3 in Python?,ترجمة: Output of 2**3 in Python?,TrueFalse,2,Because 8 is correct.,,6,
3018,1246,Overfitting in ML means?,ترجمة: Overfitting in ML means?,MCQ,2,"Because Good on training, poor on test data is correct.",,7,
3481,1456,Which protocol is stateless?,,MCQ,2,,,3,
3680,1543,Which is NOT a supervised learning algorithm?,,TrueFalse,3,Because K-Means is correct.,,1,
4386,1828,What is the time complexity of binary search?,,ShortAnswer,1,Because O(log n) is correct.,,1,
660,306,Which protocol is stateless?,,MCQ,2,Because HTTP is correct.,,6,
472,193,Which protocol is stateless?,,MCQ,3,,الشرح بالعربية,4,
3301,1368,Which is NOT a supervised learning algorithm?,ترجمة: Which is NOT a supervised lear,TrueFalse,2,Because K-Means is correct.,,11,
4426,1858,What is the time complexity of binary search?,ترجمة: What is the time complexity of,TrueFalse,1,,,2,
4735,1987,Which algorithm underlies RSA?,,MCQ,3,,,1,/uploads/questions/4172b635-f0ae-4078-880e-cd91b096d35d.png
796,389,What does SQL stand for?,,MCQ,5,Because Structured Query Language is correct.,الشرح بالعربية,3,
4954,2079,Output of 2**3 in Python?,ترجمة: Output of 2**3 in Python?,MCQ,2,Because 8 is correct.,الشرح بالعربية,4,
4600,1927,Output of 2**3 in Python?,,TrueFalse,2,Because 8 is correct.,,9,
3704,1553,Overfitting in ML means?,ترجمة: Overfitting in ML means?,TrueFalse,1,"Because Good on training, poor on test data is correct.",الشرح بالعربية,9,/uploads/questions/d3a5dfa5-5b34-4347-9cc5-199a13e57aa0.png
3255,1353,Which data structure uses LIFO?,ترجمة: Which data structure uses LIFO,MCQ,2,Because Stack is correct.,,6,
4124,1697,Output of 2**3 in Python?,,MCQ,1,Because 8 is correct.,,7,/uploads/questions/db43bd61-e3d7-45b3-943c-ac5844ba538b.png
4175,1733,Which sorting algorithm has worst-case O(n²)?,ترجمة: Which sorting algorithm has wo,MCQ,2,Because Bubble Sort is correct.,,10,
247,132,What is a deadlock?,,TrueFalse,2,Because Two processes waiting for each other is correct.,الشرح بالعربية,3,
831,405,Which sorting algorithm has worst-case O(n²)?,,ShortAnswer,2,Because Bubble Sort is correct.,الشرح بالعربية,8,/uploads/questions/d7d84fac-b57a-40cc-a5b4-bca376aa378f.png
947,443,Which sorting algorithm has worst-case O(n²)?,,MCQ,2,Because Bubble Sort is correct.,الشرح بالعربية,8,/uploads/questions/4c9978a7-c777-40b4-98ad-b500fe5edcbb.png
4258,1769,What does OOP stand for?,,MCQ,2,Because Object Oriented Programming is correct.,الشرح بالعربية,2,
3321,1371,What is a foreign key?,ترجمة: What is a foreign key?,MCQ,1,Because References a primary key in another table is correct.,الشرح بالعربية,3,
942,443,What is a deadlock?,,MCQ,5,,,3,
1976,839,What is a foreign key?,,MCQ,2,,الشرح بالعربية,7,
1875,814,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,ShortAnswer,5,Because Public Key Cryptography is correct.,الشرح بالعربية,12,
1255,585,What is a deadlock?,,MCQ,2,Because Two processes waiting for each other is correct.,,8,
4076,1677,What does SQL stand for?,,MCQ,2,Because Structured Query Language is correct.,الشرح بالعربية,11,
757,350,Overfitting in ML means?,ترجمة: Overfitting in ML means?,MCQ,2,,الشرح بالعربية,3,
375,159,What does OOP stand for?,,MCQ,2,,,11,
4324,1800,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,MCQ,5,Because Public Key Cryptography is correct.,,5,
5102,2143,What is a deadlock?,ترجمة: What is a deadlock?,MCQ,2,,الشرح بالعربية,4,/uploads/questions/e7ac5afc-b9af-4fbe-b3af-e3a595651ff0.png
319,150,Overfitting in ML means?,,MCQ,2,,,12,
2941,1225,What is a deadlock?,ترجمة: What is a deadlock?,MCQ,1,,الشرح بالعربية,10,
3780,1575,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,MCQ,1,,,2,
536,261,What does SQL stand for?,ترجمة: What does SQL stand for?,MCQ,1,,,2,
4049,1667,Which sorting algorithm has worst-case O(n²)?,,MCQ,2,Because Bubble Sort is correct.,,7,
3707,1555,What does SQL stand for?,ترجمة: What does SQL stand for?,TrueFalse,1,,,1,
2951,1226,What is the time complexity of binary search?,,MCQ,2,,,8,
339,152,What does OOP stand for?,ترجمة: What does OOP stand for?,MCQ,5,,الشرح بالعربية,9,
5118,2148,What does API stand for?,ترجمة: What does API stand for?,TrueFalse,3,,,3,
585,282,Which sorting algorithm has worst-case O(n²)?,ترجمة: Which sorting algorithm has wo,MCQ,5,Because Bubble Sort is correct.,الشرح بالعربية,7,/uploads/questions/e344f5a4-9392-4957-8a91-5ef68767d225.png
2274,960,Which is NOT a supervised learning algorithm?,ترجمة: Which is NOT a supervised lear,TrueFalse,3,,الشرح بالعربية,10,
2173,909,What is a deadlock?,,MCQ,1,,,6,
4632,1936,What does API stand for?,,TrueFalse,1,Because Application Programming Interface is correct.,الشرح بالعربية,9,
5180,2164,What is a deadlock?,,MCQ,1,Because Two processes waiting for each other is correct.,,15,/uploads/questions/814fd8f0-4d86-4695-8028-3a1a7823ce6d.png
1202,563,Which data structure uses LIFO?,,MCQ,3,,,1,
4272,1772,What is normalization in databases?,,MCQ,2,,,1,
1711,752,Which protocol is stateless?,,MCQ,3,Because HTTP is correct.,,10,
5013,2115,Which is NOT a supervised learning algorithm?,ترجمة: Which is NOT a supervised lear,ShortAnswer,5,Because K-Means is correct.,الشرح بالعربية,9,/uploads/questions/28d601b1-5191-4db2-91b7-07d79d50e505.png
4255,1768,What is normalization in databases?,,TrueFalse,2,Because Reducing data redundancy is correct.,,13,
2376,1008,Which OSI layer handles routing?,ترجمة: Which OSI layer handles routin,MCQ,2,,,14,
2053,874,What does API stand for?,,MCQ,1,Because Application Programming Interface is correct.,,3,
1206,563,Which data structure uses LIFO?,ترجمة: Which data structure uses LIFO,TrueFalse,2,Because Stack is correct.,,5,
3570,1493,Overfitting in ML means?,ترجمة: Overfitting in ML means?,MCQ,3,"Because Good on training, poor on test data is correct.",,5,
1885,815,What does API stand for?,ترجمة: What does API stand for?,MCQ,5,Because Application Programming Interface is correct.,الشرح بالعربية,9,
1356,619,Output of 2**3 in Python?,ترجمة: Output of 2**3 in Python?,ShortAnswer,2,,الشرح بالعربية,14,
2131,901,Which protocol is stateless?,ترجمة: Which protocol is stateless?,MCQ,2,,,13,
4278,1772,Which is NOT a supervised learning algorithm?,ترجمة: Which is NOT a supervised lear,MCQ,3,Because K-Means is correct.,الشرح بالعربية,7,
5338,60,Which protocol is stateless?,ترجمة: Which protocol is stateless?,MCQ,2,,,7,
4251,1768,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,MCQ,2,,,9,/uploads/questions/7868085e-b3fb-424a-8724-567e94cd4e7d.png
5245,2200,What is a foreign key?,ترجمة: What is a foreign key?,MCQ,1,Because References a primary key in another table is correct.,,1,/uploads/questions/b40501d4-7ab6-4fc0-bd86-70262ad36b80.png
1478,658,Output of 2**3 in Python?,,ShortAnswer,2,,الشرح بالعربية,11,
1878,815,Overfitting in ML means?,,TrueFalse,3,,الشرح بالعربية,2,
502,237,What is the time complexity of binary search?,ترجمة: What is the time complexity of,MCQ,5,,,5,/uploads/questions/7df92368-cc30-4a64-96f5-cb8e4f73aac6.png
2794,1158,Which OSI layer handles routing?,,MCQ,3,,الشرح بالعربية,7,
394,166,Which is NOT a supervised learning algorithm?,ترجمة: Which is NOT a supervised lear,ShortAnswer,5,,,11,
758,350,What does OOP stand for?,ترجمة: What does OOP stand for?,MCQ,5,Because Object Oriented Programming is correct.,الشرح بالعربية,4,
3,1,Overfitting in ML means?,ترجمة: Overfitting in ML means?,MCQ,1,,,3,
2079,887,What is a foreign key?,,TrueFalse,1,,,2,
2219,940,What is the time complexity of binary search?,ترجمة: What is the time complexity of,MCQ,2,Because O(log n) is correct.,,5,
4356,1809,Overfitting in ML means?,,MCQ,2,,,10,/uploads/questions/10b45e8d-375f-42f9-ba27-b9cca2c67943.png
3096,1292,Which sorting algorithm has worst-case O(n²)?,,MCQ,5,Because Bubble Sort is correct.,الشرح بالعربية,10,
927,436,Overfitting in ML means?,ترجمة: Overfitting in ML means?,ShortAnswer,1,"Because Good on training, poor on test data is correct.",الشرح بالعربية,7,
803,389,What does API stand for?,ترجمة: What does API stand for?,MCQ,1,,,10,
622,290,Which algorithm underlies RSA?,,TrueFalse,2,Because Public Key Cryptography is correct.,,3,
3026,1250,What does SQL stand for?,,TrueFalse,2,,الشرح بالعربية,6,
761,350,What does SQL stand for?,ترجمة: What does SQL stand for?,MCQ,5,,,7,
2058,874,Which sorting algorithm has worst-case O(n²)?,ترجمة: Which sorting algorithm has wo,ShortAnswer,1,,,8,
5313,16,Which data structure uses LIFO?,ترجمة: Which data structure uses LIFO,MCQ,2,Because Stack is correct.,الشرح بالعربية,7,
3393,1398,What does API stand for?,,MCQ,2,Because Application Programming Interface is correct.,الشرح بالعربية,3,/uploads/questions/1135ce37-8c3b-4cd4-824b-ab9da6b2cc23.png
1180,557,What does OOP stand for?,,MCQ,3,,الشرح بالعربية,10,
161,73,What is a deadlock?,,MCQ,1,Because Two processes waiting for each other is correct.,,1,
595,286,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,TrueFalse,3,Because Public Key Cryptography is correct.,,5,
2642,1103,What is the time complexity of binary search?,ترجمة: What is the time complexity of,TrueFalse,3,Because O(log n) is correct.,الشرح بالعربية,8,
277,141,What is a deadlock?,,MCQ,2,Because Two processes waiting for each other is correct.,,8,
9,1,Which sorting algorithm has worst-case O(n²)?,,ShortAnswer,1,,,9,
2537,1076,Which protocol is stateless?,,MCQ,2,,,1,
1216,564,What does SQL stand for?,ترجمة: What does SQL stand for?,TrueFalse,2,,الشرح بالعربية,5,
3306,1369,What does OOP stand for?,ترجمة: What does OOP stand for?,TrueFalse,1,,,3,/uploads/questions/25c13d9f-6e93-4434-8279-d9e0f597b4bd.png
1633,718,What is a foreign key?,ترجمة: What is a foreign key?,MCQ,1,Because References a primary key in another table is correct.,,12,
3952,1637,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,ShortAnswer,1,Because Public Key Cryptography is correct.,الشرح بالعربية,7,/uploads/questions/10bcb2e9-e125-4ff3-b7cd-739632dea15c.png
4204,1741,Output of 2**3 in Python?,,ShortAnswer,5,Because 8 is correct.,الشرح بالعربية,3,
1329,612,What is normalization in databases?,,MCQ,1,,الشرح بالعربية,10,
2447,1042,Which is NOT a supervised learning algorithm?,,TrueFalse,3,,,9,
5349,16,Overfitting in ML means?,ترجمة: Overfitting in ML means?,MCQ,3,"Because Good on training, poor on test data is correct.",,1,
2321,983,Overfitting in ML means?,,TrueFalse,5,,الشرح بالعربية,13,
2048,873,Which algorithm underlies RSA?,,MCQ,5,,الشرح بالعربية,5,
1713,752,What is normalization in databases?,,ShortAnswer,3,Because Reducing data redundancy is correct.,الشرح بالعربية,12,
2025,852,What is the time complexity of binary search?,,MCQ,2,,الشرح بالعربية,5,
251,132,What is the time complexity of binary search?,,MCQ,2,,,7,
149,60,What does SQL stand for?,,TrueFalse,5,Because Structured Query Language is correct.,,8,
5147,2160,Which sorting algorithm has worst-case O(n²)?,,MCQ,3,Because Bubble Sort is correct.,الشرح بالعربية,2,
2241,954,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,MCQ,2,Because Public Key Cryptography is correct.,,4,
4832,2013,Which protocol is stateless?,,MCQ,5,Because HTTP is correct.,,8,/uploads/questions/f979e1ab-2990-4b97-a36e-15164bfd169c.png
1813,794,What is a deadlock?,ترجمة: What is a deadlock?,ShortAnswer,2,Because Two processes waiting for each other is correct.,,6,
2845,1176,What is normalization in databases?,,MCQ,3,Because Reducing data redundancy is correct.,,8,
938,442,What is a deadlock?,,MCQ,3,,,11,
3867,1603,What is a deadlock?,,MCQ,1,Because Two processes waiting for each other is correct.,,5,
2856,1178,What does OOP stand for?,ترجمة: What does OOP stand for?,MCQ,1,,,4,
2059,878,What is a deadlock?,,MCQ,1,Because Two processes waiting for each other is correct.,,1,/uploads/questions/2bd43592-6771-4751-901c-56d9094e0091.png
3238,1352,Which protocol is stateless?,ترجمة: Which protocol is stateless?,MCQ,1,Because HTTP is correct.,,2,
1793,788,Which sorting algorithm has worst-case O(n²)?,,TrueFalse,3,Because Bubble Sort is correct.,الشرح بالعربية,2,
527,254,Which OSI layer handles routing?,,ShortAnswer,2,,الشرح بالعربية,1,
78,26,What does API stand for?,ترجمة: What does API stand for?,MCQ,3,,الشرح بالعربية,6,
2601,1089,What is normalization in databases?,,MCQ,1,Because Reducing data redundancy is correct.,,5,
258,137,What does OOP stand for?,ترجمة: What does OOP stand for?,ShortAnswer,3,Because Object Oriented Programming is correct.,الشرح بالعربية,5,
4404,1845,Which sorting algorithm has worst-case O(n²)?,ترجمة: Which sorting algorithm has wo,MCQ,1,,,1,
2672,1112,What is a deadlock?,ترجمة: What is a deadlock?,MCQ,1,Because Two processes waiting for each other is correct.,الشرح بالعربية,12,
3945,1635,What does OOP stand for?,,MCQ,3,Because Object Oriented Programming is correct.,الشرح بالعربية,15,
2577,1081,What does API stand for?,ترجمة: What does API stand for?,ShortAnswer,3,Because Application Programming Interface is correct.,الشرح بالعربية,3,
2996,1239,Which data structure uses LIFO?,ترجمة: Which data structure uses LIFO,ShortAnswer,5,,,12,
4104,1695,Which sorting algorithm has worst-case O(n²)?,,MCQ,1,,الشرح بالعربية,3,
